product_name,price
New Samsung Galaxy A34 128 GB Black,28500
New Samsung Galaxy A34 128 GB Black,28500
New Samsung Galaxy A34 128 GB Black,28500
New Samsung Galaxy S20 128 GB Black,30500
New Samsung Galaxy S20 128 GB Black,30500
New Samsung Galaxy S20 128 GB Black,30500
New Samsung Galaxy A23 128 GB Black,22500
New Samsung Galaxy A23 128 GB Black,22500
New Samsung Galaxy A23 128 GB Black,22500
New Samsung Galaxy A24 128 GB Bronze,23000
New Samsung Galaxy A24 128 GB Bronze,23000
New Samsung Galaxy A24 128 GB Bronze,23000
New Samsung Galaxy A55 128 GB White,53000
New Samsung Galaxy A55 128 GB White,53000
New Samsung Galaxy A55 128 GB White,53000
New Samsung Galaxy A53 5G 128 GB Black,30500
New Samsung Galaxy A53 5G 128 GB Black,30500
New Samsung Galaxy A53 5G 128 GB Black,30500
New Samsung Galaxy A23 128 GB Black,23499
New Samsung Galaxy A23 128 GB Black,23499
New Samsung Galaxy A23 128 GB Black,23499
New Samsung Galaxy A56 256 GB Black,65500
New Samsung Galaxy A56 256 GB Black,65500
New Samsung Galaxy A56 256 GB Black,65500
New Xiaomi Redmi Note 12R 128 GB Gray,19500
New Xiaomi Redmi Note 12R 128 GB Gray,19500
New Xiaomi Redmi Note 12R 128 GB Gray,19500
New Samsung Galaxy A54 128 GB Black,37500
New Samsung Galaxy A54 128 GB Black,37500
New Samsung Galaxy A54 128 GB Black,37500
New Samsung Galaxy A25 128 GB Black,27500
New Samsung Galaxy A25 128 GB Black,27500
New Samsung Galaxy A25 128 GB Black,27500
New Samsung Galaxy M15 128 GB Blue,26500
New Samsung Galaxy M15 128 GB Blue,26500
New Samsung Galaxy M15 128 GB Blue,26500
New Samsung Galaxy A15 5G 128 GB Black,26000
New Samsung Galaxy A15 5G 128 GB Black,26000
New Samsung Galaxy A15 5G 128 GB Black,26000
New Samsung Galaxy Jump3 128 GB Black,22500
New Samsung Galaxy Jump3 128 GB Black,22500
New Samsung Galaxy Jump3 128 GB Black,22500
New Samsung Galaxy A55 256 GB Blue,55500
New Samsung Galaxy A55 256 GB Blue,55500
New Samsung Galaxy A55 256 GB Blue,55500
New Samsung Galaxy Note 9 128 GB Silver,25500
New Samsung Galaxy Note 9 128 GB Silver,25500
New Samsung Galaxy Note 9 128 GB Silver,25500
New Samsung Galaxy M53 128 GB Black,26500
New Samsung Galaxy M53 128 GB Black,26500
New Samsung Galaxy M53 128 GB Black,26500
New Samsung Galaxy A55 128 GB White,48000
New Samsung Galaxy A55 128 GB White,48000
New Samsung Galaxy A55 128 GB White,48000
New Samsung Galaxy M23 128 GB Black,21500
New Samsung Galaxy M23 128 GB Black,21500
New Samsung Galaxy M23 128 GB Black,21500
New Samsung Galaxy A34 128 GB Green,28499
New Samsung Galaxy A34 128 GB Green,28499
New Samsung Galaxy A34 128 GB Green,28499
